index,type,date,country,state,location,activity,severity,time
6483,UNPROVOKED,1878-01-01,AUSTRALIA,New South Wales,"Balmain, Sydney (Estuary)",SWIMMING,FATALITY,
6484,UNPROVOKED,1877-01-12,FIJI,,,,FATALITY,
6485,UNPROVOKED,1877-01-12,AUSTRALIA,New South Wales,"Peacock Point, Balmain, Sydney",SWIMMING,INJURY,
6486,UNPROVOKED,1877-01-12,AUSTRALIA,New South Wales,Near Sydney,SURFING,FATALITY,
6487,UNPROVOKED,1877-01-09,AUSTRALIA,New South Wales,Port Jackson,FISHING,,NOON
6488,,1877-01-08,INDIAN OCEAN,,,,,
6489,PROVOKED,1877-01-04,AUSTRALIA,Tasmania,Smelting Works Bay near Hobart,,INJURY,
6490,UNPROVOKED,1877-01-04,AUSTRALIA,Victoria,Portarlington,SWIMMING,INJURY,MORNING
6491,UNPROVOKED,1877-01-03,ITALY,Strait of Messina,Off Calabria,SURFING,,
6492,UNPROVOKED,1877-01-03,FIJI,Viti Levu Island,"Na Koro Vatu, Rewa River",,INJURY,
6493,UNPROVOKED,1877-01-02,AUSTRALIA,Victoria,Off Melbourne,FISHING,INJURY,
6494,UNPROVOKED,1877-01-01,AUSTRALIA,Victoria,Emerald Hill,SWIMMING,FATALITY,
6495,UNPROVOKED,1877-01-01,AUSTRALIA,Victoria,Boarding School Bay,SWIMMING,INJURY,
6496,,1877-01-01,SOUTH AFRICA,KwaZulu-Natal,Durban,SWIMMING,INJURY,
6497,UNPROVOKED,1877-01-01,INDIA,Hoogly River,Near Calcutta,,INJURY,
6498,UNPROVOKED,1876-01-10,USA,New York,,FISHING,FATALITY,
6499,UNPROVOKED,1876-01-09,GREECE,Cyclades archipelago,Between the islands of Tenos and Andros,DIVING,FATALITY,
6500,UNPROVOKED,1876-01-06,USA,Georgia,Cumberland Island,SWIMMING,INJURY,
6501,UNPROVOKED,1876-01-05,AUSTRALIA,New South Wales,Sydney Harbour,SWIMMING,FATALITY,
6502,UNPROVOKED,1876-01-02,AUSTRALIA,Victoria,Albert Park in Port Phillip Bay,SWIMMING,FATALITY,
6503,UNPROVOKED,1876-01-01,LEBANON,Mount Lebanon,Batroun,DIVING,FATALITY,
6504,UNPROVOKED,1876-01-01,ENGLAND,"Between Hastings & Fairlight, Sussex",,,INJURY,
6505,UNPROVOKED,1876-01-01,AUSTRALIA,Western Australia,Between De Grey River and Port Walcott,DIVING,INJURY,
6506,UNPROVOKED,1876-01-01,AUSTRALIA,New South Wales,Sydney,,FATALITY,
6507,UNPROVOKED,1875-01-11,AUSTRALIA,New South Wales,Clarence Heads,FISHING,,
6508,,1875-01-08,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",,,
6509,UNPROVOKED,1875-01-03,NEW ZEALAND,North Island,Tauranga,SWIMMING,FATALITY,
6510,,1875-01-01,AUSTRALIA,Queensland,Mary River,SWIMMING,INJURY,
6511,UNPROVOKED,1874-01-11,AUSTRALIA,Queensland,Maryborough,SWIMMING,INJURY,
6512,UNPROVOKED,1874-01-11,AUSTRALIA,Western Australia,Sharks Bay,BOATING,FATALITY,
6513,WATERCRAFT,1874-01-11,CROATIA,Zadar County,"Lika-Senj, Pag Island",FISHING,,
6514,WATERCRAFT,1874-01-07,FRANCE,,,FISHING,,
6515,UNPROVOKED,1874-01-07,USA,Hawaii,Waikiki,FISHING,INJURY,
6516,UNPROVOKED,1874-01-07,USA,New York,Coney Island,SWIMMING,INJURY,NOON
6517,UNPROVOKED,1874-01-06,MEXICO,Veracruz,"Tlacotalpan, Vera Cruz",SWIMMING,FATALITY,
6518,UNPROVOKED,1874-01-06,KIRIBATI,Gilbert Islands,Beru,,FATALITY,
6519,UNPROVOKED,1874-01-06,,,,DIVING,INJURY,
6520,UNPROVOKED,1874-01-06,HONDURAS,,Mouth of the Ullua River,BOATING,FATALITY,
6521,WATERCRAFT,1874-01-04,CANADA,Newfoundland,St. Pierre Bank,FISHING,INJURY,
6522,UNPROVOKED,1874-01-01,TUVALU,,Between Nanumea & Nanumaga Atolls,BOATING,INJURY,NIGHT
6523,UNPROVOKED,1874-01-01,AUSTRALIA,New South Wales,"Darling Harbor, Sydney",SWIMMING,INJURY,
6524,PROVOKED,1873-01-07,USA,Maryland,Chester River,FISHING,INJURY,
